,Rickshaw Name,Dimensions & Capacity - Ground Clearance,Dimensions & Capacity - Kerb Weight,Body & Suspension - Chassis,Engine & Transmission - Power,Dimensions & Capacity - Height,Dimensions & Capacity - Length,Dimensions & Capacity - Wheelbase,Dimensions & Capacity - Width,Performance & Drivetrain - Max Speed,Price (in Lakh)
0,mahindra Treo Yaari,142.0,276.0,0,5.32,1750.0,2769.0,2073.0,995.0,24.5,1.69
1,mahindra Treo,142.0,377.0,0,5.32,1750.0,2769.0,2073.0,1350.0,55.0,3.19
2,montra Super Auto,207.0,470.0,4,13.0,1750.0,2825.0,2010.0,1350.0,55.0,3.15
3,jsa E Rickshaw,175.79,358.79,5,5.32,1780.0,2720.0,2046.0,980.0,25.0,1.15
4,mini-metro E Rickshaw,175.79,358.79,5,5.32,1772.0,2650.0,2046.0,970.0,22.0,1.15
5,baba-electric E Rickshaw,175.79,358.79,5,5.32,1780.0,2720.0,2046.0,980.0,25.0,1.15
6,piaggio Ape E City,163.0,713.0,0,5.44,1725.0,2700.0,1920.0,1370.0,45.0,2.84
7,kinetic DX,220.0,324.0,0,2.0,1799.0,2781.0,2118.0,995.0,25.0,1.4
8,deltic Star,175.79,358.79,5,5.32,1790.0,2790.0,2046.0,990.0,24.96,0.72
9,bahubali-e-rickshaw Bahubali,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,1.26
10,gem-ev Samrat,175.79,282.0,5,5.32,1770.0,2758.0,2046.0,990.0,29.6,1.44
11,omega-seiki-mobility Stream,175.0,600.0,5,9.5,1800.0,2940.0,1920.0,1475.0,45.0,1.65
12,gem-ev Prince,175.79,358.79,5,5.32,1770.0,2758.0,2046.0,998.0,29.6,1.12
13,gem-ev Queen,175.79,282.0,5,5.32,1770.0,2758.0,2046.0,990.0,29.6,0.87
14,lohia Humsafar,190.0,440.0,0,5.32,1810.0,2915.0,2120.0,1460.0,48.0,1.45
15,jsa E Rickshaw,175.79,358.79,5,5.32,1780.0,2720.0,2046.0,980.0,25.0,1.25
16,mini-metro E Rickshaw,175.79,358.79,5,5.32,1772.0,2650.0,2046.0,970.0,22.0,1.25
17,baba-electric E Rickshaw,175.79,358.79,5,5.32,1780.0,2720.0,2046.0,980.0,25.0,1.25
18,mahindra E-Alfa Mini,142.0,358.79,0,5.32,1794.0,2768.0,2168.0,995.0,25.0,3.94
19,atul Elite Plus,175.79,322.0,0,1.0,1795.0,2780.0,2046.0,995.0,24.0,1.0
20,kinetic Safar Smart,220.0,358.79,0,5.32,1769.47,2780.0,2046.0,990.0,29.6,1.35
21,saarthi Shaktimaan E Rickshaw,175.79,358.79,0,5.32,1690.0,2740.89,2046.0,1069.09,29.6,1.05
22,mini-metro Gold SS,175.79,358.79,5,5.32,1769.47,2740.89,2046.0,1069.09,29.6,3.25
23,mini-metro Blue E Rickshaw,175.79,358.79,4,5.32,1769.47,2740.89,2046.0,1069.09,25.0,1.4
24,jezza-motors J1000 E Rickshaw,175.79,358.79,0,5.32,1780.0,2740.89,2046.0,1069.09,29.6,1.6
