address,postal_code,capacity,city,close,cost_per_unit,country,latitude,longitude,open,payment_modes,staff,available,charger_type,"if_battery_swap_station,_no._of_dockets",id,vendor,charging_type,contact_number,name,coordinates,timing,no_of_chargers,station_type
"175, Patparganj Industrial Area, Patparganj",110092.0,3.3kw,New Delhi,21:00:00,15.0,India,28.642213,77.314837,08:00:00,Cash/E-Wallet,Staffed,2.0,LEV AC,nil,S01,Massive Mobility,Charging,,,"{'latitude': '28.642213', 'longitude': '77.314837'}",08:00:00 - 21:00:00,2.0,Charging Station
"A-1/1, Hardev Puri, 100 ft Road, Nathu Colony Chowk, Sahadara",110025.0,3.3kw,New Delhi,21:00:00,15.0,India,28.689606,77.298775,09:00:00,Cash/E-Wallet,Staffed,1.0,LEV AC,nil,S02,Massive Mobility,Charging,,,"{'latitude': '28.689606', 'longitude': '77.298775'}",09:00:00 - 21:00:00,1.0,Charging Station
"Plot no. 1-A, Shiv vihar, Nangloi",110019.0,3.3kw,New Delhi,21:00:00,15.0,India,28.661666,77.061585,10:00:00,Cash/E-Wallet,Staffed,10.0,LEV AC,nil,S03,Massive Mobility,Charging,,,"{'latitude': '28.661666', 'longitude': '77.061585'}",10:00:00 - 21:00:00,10.0,Charging Station
M block Market Gearter Kailash 1,110041.0,3.3kw,New Delhi,21:00:00,15.0,India,28.550284,77.235053,11:00:00,Cash/E-Wallet,Staffed,1.0,LEV AC,nil,S04,Massive Mobility,Charging,,,"{'latitude': '28.550284', 'longitude': '77.235053'}",11:00:00 - 21:00:00,1.0,Charging Station
"Shop No-48, NH-5, NIT, Faridabad",110052.0,3.3kw,New Delhi,21:00:00,15.0,India,28.405363,77.30553,12:00:00,Cash/E-Wallet,Staffed,1.0,LEV AC,nil,S05,Massive Mobility,Charging,,,"{'latitude': '28.405363', 'longitude': '77.305530'}",12:00:00 - 21:00:00,1.0,Charging Station
"252, Oldanpur, Block b, Balbir Nagar Loni",201003.0,3.3kw,Ghaziabad,21:00:00,15.0,India,28.687648,77.291979,15:00:00,Cash/E-Wallet,Staffed,5.0,LEV AC,nil,S08,Massive Mobility,Charging,,,"{'latitude': '28.687648', 'longitude': '77.291979'}",15:00:00 - 21:00:00,5.0,Charging Station
"House no 529, Bhimgarh Kheri, Near New Railway station, Ashok Vihar",122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.488302,77.012275,16:00:00,Cash/E-Wallet,Staffed,5.0,LEV AC,nil,S09,Massive Mobility,Charging,,,"{'latitude': '28.488302', 'longitude': '77.012275'}",16:00:00 - 21:00:00,5.0,Charging Station
"Plot, Street Number 57, Phase IV, Udyog Vihar Sector 18",122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.493159,77.082614,17:00:00,Cash/E-Wallet,Staffed,1.0,LEV AC,nil,S10,Massive Mobility,Charging,,,"{'latitude': '28.493159', 'longitude': '77.082614'}",17:00:00 - 21:00:00,1.0,Charging Station
Crescent Park Avenue Sector 49,122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.402878,77.047157,18:00:00,Cash/E-Wallet,Staffed,2.0,LEV AC,nil,S11,Massive Mobility,Charging,,,"{'latitude': '28.402878', 'longitude': '77.047157'}",18:00:00 - 21:00:00,2.0,Charging Station
Ansal Heights Sector 92,122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.414466,76.919544,19:00:00,Cash/E-Wallet,Staffed,2.0,LEV AC,nil,S12,Massive Mobility,Charging,,,"{'latitude': '28.414466', 'longitude': '76.919544'}",19:00:00 - 21:00:00,2.0,Charging Station
GLS Avenue Sector 92,122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.414216,76.917286,20:00:00,Cash/E-Wallet,Staffed,2.0,LEV AC,nil,S13,Massive Mobility,Charging,,,"{'latitude': '28.414216', 'longitude': '76.917286'}",20:00:00 - 21:00:00,2.0,Charging Station
"Rezang La Mark, Block E, Ashok Vihar",122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.489287,77.019696,21:00:00,Cash/E-Wallet,Staffed,1.0,LEV AC,nil,S14,Massive Mobility,Charging,,,"{'latitude': '28.489287', 'longitude': '77.019696'}",21:00:00 - 21:00:00,1.0,Charging Station
"27, Delhi Road, Rajiv Nagar Sector 13",122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.4753,77.043585,22:00:00,Cash/E-Wallet,Staffed,1.0,LEV AC,nil,S15,Massive Mobility,Charging,,,"{'latitude': '28.475300', 'longitude': '77.043585'}",22:00:00 - 21:00:00,1.0,Charging Station
"44-45, Divider Road, Near Ramada Hotel Kanahi",122022.0,3.3kw,Gurugram,21:00:00,15.0,India,28.449237,77.071594,23:00:00,Cash/E-Wallet,Staffed,1.0,LEV AC,nil,S16,Massive Mobility,Charging,,,"{'latitude': '28.449237', 'longitude': '77.071594'}",23:00:00 - 21:00:00,1.0,Charging Station
